| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 16 | 付费方式 | 资金账户可用资金 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 17 | 签约途径 | 中信建投官网下载中信建投证券卓越版（通达信）、PClevel2高速版—level2—立即购买。 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 18 | 可签约时间 | 交易日9:00—16:00 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 19 | 生效时间 | 签约当日生效 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 20 | 解约时间 | 暂不支持解约 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 21 | 额外说明 | 1、境外网络无法使用 |
| |              | | 2、资金账号和手机号一一绑定，服务期内手机号无法解绑                                       3、仅限中信建投网上交易客户端（通达信）使用 |


| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 10 | 服务内容 | 拥有“十档行情、委托队列、闪电突击、主力追踪、资金先锋、拖拉机单、顶级挂单、主力撤单、主力异动、跳价出货、压单、托单、夹单、对倒、量化因子策略和智能优选策略”16个功能，细分为2大行情功能，6大数据揭秘、6大盘口资金监控、2大投资策略。 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 11 | 服务频次 | 主力追踪、资金先锋、智能策略盘后更新，其他功能盘中更新。 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 12 | 查看方式 | PC level2高速版—level2 |

| PC level2高速版产品要素表——16大看盘功能（相关数据更新至2021.11.25） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 13 | 主要收费标准 | 580元/月，1680元/半年，2880元/年 |

