| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 22 | 签约途径 | 蜻蜓点金APP—AI选股—短线宝（无短信提醒可在开盘前自行此路径查看股票池） |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 23 | 签约注意事项 | 1、签约时请确认短信接收电话号码无误 |
| |              | | 2、请留意在手机设置打开蜻蜓点金APP消息通知 |
| |              | | 3、没收到短信的三种办法：1、查看垃圾短信，看是否拦截，卸载360等拦截软件，恢复服务短信查收，如仍收不到，可联系客户经理反馈进一步解决；2、查看APP推送，点击右上角“信封”；3、点击蜻蜓点金APP-首页AI选股—短线宝，也可以看到个股信息。 |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 24 | 是否可修改服务短信接收手机号 | 是，点击蜻蜓点金APP-右上角说明，即可修改手机号 |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 25 | 可签约时间 | 每天9:00—16:00（系统升级除外） |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 26 | 生效时间 | 立即生效 |


| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 27 | 解约时间 | 首次签约可在5个交易日内解约，非首次签约不可解约 |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 28 | 风险提示 | 由于模型选出的股票波动性较大，某些股票存在较大的下行风险。卖出时机的选择需要投资者自行把握，存在卖点选择不当的风险。模型选股胜率较高，但风险较大，建议分散投资。 |

| 短线宝要素表（短线智能选股工具）（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | !!! | 创收&提成 | 员工销售短线宝，计入60%业绩创收，提成为创收的50%。例：短线宝年度产品为2099元，创收为1259元，业绩提成为630元。 |
| |              | 严禁向客户发送 | |

