father_file	question	answer
【AI百宝箱】揭秘主力交易“密码”.txt	成交量（5 , 1 0 . 2 0 V O L 9 8 . 8 2 万MA 5 : 8 8 . 2 0 万1 0 : 8 0 . 6 7 万2 0 : 9 7 . 2 1 万\n1 5 9 . 6 9 万\n撑压信号神奇电波\n撑压信号\n神奇电波\n主力密码\n神奇九转\n主力密码神奇九转\n分时\n五日\n日K\n周K\n月K\n分钟。区\n分钟。\n不复权\nMA:MA5:22.4010:21.1120:21.03\n不复权\n减仓\n30.16\n30.16*\n减仓\n减检\n减仓\n减仓\n减仓减仓减仓\n22.40\n减仓\n.64\n进场\n14.64\n2023/12/11\n2023/09/13	{'number': 3, 'question': [{'question': '成交量的MA5值是多少？', 'answer': '成交量的MA5值是88.20万。'}, {'question': '成交量的MA10值是多少？', 'answer': '成交量的MA10值是80.67万。'}, {'question': '成交量的MA20值是多少？', 'answer': '成交量的MA20值是97.21万。'}]}
2-3Level2白银版功能详解逐笔明细.txt	买5 8.61 156\n\n分时成交\n\n14:10\n\n14:10 20\n\n14:10 31\n\n14:10\n\n马分布 短线宝\n\n最细\n\n1044.3010.4.30.44.3010.44.2910.44.2010442510.44.24\n\n姿托队列\n\n姿托队列 分价\n\n探索成交含义，把握资金动向 立即解密\n\n探索成交含义，把握资金动向\n\n立即解密\n\n10:44:32\n\n10:44:31\n\n10:44:30 10 S\n\n10:44:29\n\n10:44:27 20 S\n\n10 S\n\nS\n\n10:44:26\n\n探索成交含义，把握资金动向\n\n探索成交含义，把握资金动向 立即解密\n\n立即解密\n\n10:44:32\n\n10:44:31\n\n10 S\n\n10:44:30\n\n10:44:29\n\n10:44:27 20 S\n\n10 S\n\n7 S\n\n10:44:26\n\nS\n\n10:44:32\n\n10:44:31\n\n10:44:30 10 S\n\n10:44:29\n\n10:44:27 20 S\n\n10 S\n\nS\n\n10:44:26\n\nS\n\n10:44.25\n\n天运\n\n10:44:31\n\n10:44:30 10 S\n\n10:44:29\n\n10:44:27 20 S\n\n10 S\n\nS\n\n10:44:26\n\nS\n\n10:44:25\n\n10:44:30 10 S\n\n10:44:29\n\n10:44:27 20 S\n\n10 S\n\n7 S\n\n10:44:26\n\nS\n\n10:44:25\n\n10:44:24 S\n\n量14.31万\n\n高 开2 7 . 1 9 量1 4 . 3 1 万\n\n开27.19\n\n更\n\n多\n\n低2 7 . 1 8 换1 . 0 9 % 额3 . 9 8 亿\n\n低27.18\n\n换1.09%额3.98亿\n\n分时 5 日 日K 周K 月K 分钟 章\n\n28.28 +3.97% 明细\n\n28.28\n\n卖1 0 975\n\n卖10\n\n卖9 211\n\n卖8 29\n\n卖7 90\n\n卖6 124\n\n卖5 570\n\n卖4 86\n\n卖3 69\n\n卖2 57\n\n卖1 153\n\n-3.97%\n\n26-12\n\n叠加1 5 : 0 0 买1 108\n\n叠加15:00买1\n\n09:30\n\n成交量现量1 2 0 6 . 0 0 买2 124\n\n成交量现量1206.00\n\n9539.00 买3 287\n\n9539.00	{'number': 3, 'question': [{'question': '在10:44:30时，成交了多少手股票？', 'answer': '10手'}, {'question': '在10:44:27时，成交了多少手股票？', 'answer': '20手'}, {'question': '在10:44:26时，成交了多少手股票？', 'answer': '7手'}]}
5-6 北上资金策略.txt	第1 4 6 期 第1 4 4 期 第1 4 3 期\n\n第144期\n\n2022.07.23 2022.07.09 2022.06.25\n\n2022.07.23\n\n2022.07.09\n\n2022.06.25\n\n入选后\n\n入选价\n\n入选股票 入选价 状态\n\n入选股票\n\n最高涨幅\n\n甘李药业 41.21 入选\n\n甘李药业\n\n41.21\n\nX D 金地集 10.95 入选\n\nXD金地集\n\n10.95\n\n涪陵榨菜 29.70 入选\n\n29.70\n\n新和成\n\n新和成 20.61 入选\n\n20.61\n\n始\n\n卫星化学 23.91 入选\n\n卫星化学\n\n23.91\n\n签约\n\n华鲁恒升 27.31 入选\n\n华鲁恒升\n\n大华股份\n\n大华股份 14.72 入选\n\n14.72\n\nX D 中国核 6.40 入选\n\nXD中国核\n\n6.40\n\n以香看每一期月股票池的状\n\n可以查看每一期股票池的状态\n\n本产品适合风险承受能力等级为稳健型（C3）及以上.拟投品种包含权益类的投资者\n\nX 北上资金策略\n\n| 6期 | 第145期 | 第143期 | 3期 | 第1 |\n|-|-|-|-|-|\n| 07.23 | 2022.07.16 | | 2022.06.25 | 202 |\n| 入选股票 | 入选价 | 入选后 | 状态 | |\n| |            | 最高涨幅 | | |\n| 华鲁恒升 | 27.92 | | 入选 | |\n| 锡业股份 | 16.27 | 0.00% | 调出 | |\n\n视频内容仅供签约客户参考使用\n\n以香看每一期股票池的状\n\n本产品适合风险承受能力等级为稳健型（C3）及以上.拟投品种包含权益类的投资者如您不符合要求建议退出观着\n\n北上资金策略\n\n<X 北上资金策略\n\n| 6期 | 第145期 | 第143期 | - | 第14 |\n|-|-|-|-|-|\n| 07.23 | 2022.07.16 | 2022.06.25 | | 202 |\n| 入选股票 | 入选价 | 入选后 | 状态 | |\n| |            | 最高涨幅 | | |\n| 华鲁恒升 | 27.92 | | 入选 | |\n| 锡业股份 | 16.27 | 0.00% | 河山 | |\n\n视频内容仅供签约客户参考使用\n\n状态为入选代表跟踪中的股票\n\n状态为入选代表\n\n跟踪中的股票	{'number': 3, 'question': [{'question': '甘李药业在第144期的入选价是多少？', 'answer': '41.21'}, {'question': '华鲁恒升在第144期的入选价是多少？', 'answer': '27.31'}, {'question': 'XD中国核在第144期的入选价是多少？', 'answer': '6.40'}]}
【勿外传】智能投顾产品要素表.txt	| 智能投顾选股类产品合集 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 |\n|-|-|-|-|-|-|-|-|-|\n| |                                                                                                                                      | |                        | |                                                                                                                                   | 1、短信 | | |\n| |                                                                                                                                      | |                        | |                                                                                                                                   | 2、APP推送 | | |	{'number': 3, 'question': [{'question': '智能投顾选股类产品合集中提到了哪两种服务方式？', 'answer': '短信和APP推送'}, {'question': '智能投顾选股类产品合集中提到的第一种服务方式是什么？', 'answer': '短信'}, {'question': '智能投顾选股类产品合集中提到的第二种服务方式是什么？', 'answer': 'APP推送'}]}
3-3Level2黄金版使用详解急速拉升.txt	| - | 4.31-0.48 | 10.02%五日日K | 今开成交量9.46万手周K | 昨收4.79换手率1.76%月K | 文化传媒-0.97%分钟设置 | - |\n|-|-|-|-|-|-|-|\n| 5.27 | | | | +10.02% | 明细 | |\n| |             | |                         | 卖10 | 卖104.43 | 48 |\n| |             | |                         | | .39 | 177 |\n| |             | 根据提示 | 卖出，有交 | 改规避跌 | 38 | 215 |\n| |             | 停风险。 | | | | 10 |\n| 179 | | | | | .37 | |\n| |             | |                         | 卖6 | 4.36 | 132 |\n| |             | |                         | 5 | 4.35 | 42 |\n| |             | |                         | 4 | 4.34 | 273 |\n| |             | |                         | 3 | 4.33 | 207 |\n| |             | |                         | -10.022 | 4.32 | 397 |	{'number': 3, 'question': [{'question': '今日文化传媒板块的涨跌幅是多少？', 'answer': '今日文化传媒板块的涨跌幅是-0.97%。'}, {'question': '今日文化传媒板块的成交量是多少？', 'answer': '今日文化传媒板块的成交量是9.46万手。'}, {'question': '文化传媒板块的昨日换手率是多少？', 'answer': '文化传媒板块的昨日换手率是1.76%。'}]}
4点金投要素表.txt	点金投要素表\n\n| 点金投要素表——资讯+选股+择时+诊股+数据大集合 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 1 | 产品名称 | 点金投（服务包） |\n\n| 点金投要素表——资讯+选股+择时+诊股+数据大集合 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 2 | 产品代码 | ZT0020 |\n\n| 点金投要素表——资讯+选股+择时+诊股+数据大集合 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 3 | 产品类型 | 现金购买/后端购买—智能决策工具—资讯+选股+择时+诊股+数据策略 |\n\n| 点金投要素表——资讯+选股+择时+诊股+数据大集合 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 4 | 产品简介 | 点金投包含选股、择时、诊股、资讯服务。签约点金投，即可在服务期内体验盘中宝、神奇电波、神奇九转、主力密码、尾盘掘金、北上资金策略、沪深港资金、高级诊股、安心投、大盘风向标、指数红绿灯共10款产品。 |\n\n| 点金投要素表——资讯+选股+择时+诊股+数据大集合 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 5 | 风格标签 | 【智能工具大集合】、【资讯+选股+择时+诊股+数据策略】 |	{'number': 3, 'question': [{'question': '点金投产品代码是什么？', 'answer': 'ZT0020'}, {'question': '点金投产品包含哪些服务？', 'answer': '点金投包含选股、择时、诊股、资讯服务。'}, {'question': '点金投产品的类型是什么？', 'answer': '现金购买/后端购买—智能决策工具—资讯+选股+择时+诊股+数据策略'}]}
3-3Level2黄金版使用详解急速拉升.txt	| 急速拉升 | 主力追踪 | 资金动向 | 超级大单 | 拖拉 |\n|-|-|-|-|-|\n| | 拉升 | | 跳水 | |\n| 查看解释 | 提示时间 | | 提示次数提示信号 | |\n| | 14：51 | 13 | 明细拉升预警 | |\n| | 14：23 | 12 | 明细拉升预警 | |\n\n急速拉升\n\n主力追踪\n\n资金动向\n\n超级大单\n\n| 急速拉升主力追踪 | 资金动向 | 超级大单 | 拖拉 |\n|-|-|-|-|\n| 拉升 | | 跳水 | |\n| 查看解释提示时间 | | 提示次数 | 提示信号 |\n| 14：51 | 13 | 明细 | 拉升预警 |\n| 14：23 | 12 | 明细 | 拉升预警 |\n\n14:5113明细拉升预警\n\n14:51\n\n14:51 13 明细 拉升预警\n\n提示信号\n\n提示时间\n\n提示时间 提示信号\n\n拉升预警 13:46\n\n拉升预警\n\n13:45\n\n拉升预警 13:43\n\n拉升预警\n\n13:42\n\n开17.40量10.57万更换13.83%额1.94亿低17.30五日日K周K月K分钟\n\n明细\n\n+10.03\n\n卖1 0\n\n卖9\n\n卖8\n\n卖7\n\n卖6\n\n卖5\n\n若在第一次提示时，依据拉升预警\n\n日宗\n\n买入\n\n最终盈利8 . 0 8 % 。\n\n| - | 五日 | 高 | 低17.30 | 开17.40量10.57万 | 更 |\n| |        | 日K | 周K | 换13.83%额1.94亿 | 多 |\n| |        | |                                | 月K分钟 | |\n|-|-|-|-|-|-|\n| 19.31 | | | | +10.03 | 明细 |\n| |        | |                                | 卖10 | |\n| |        | |                                | 卖9卖8 | |\n| |        | |                                | 卖7卖6 | |\n| |        | 买入 | 若在第一次提示时，依据拉升预警 | 卖5升预警，当日 | |\n\n最终盈利8 . 0 8 % 。	{'number': 3, 'question': [{'question': '在14:51时，主力追踪的提示信号是什么？', 'answer': '明细拉升预警'}, {'question': '在14:23时，主力追踪的提示信号是什么？', 'answer': '明细拉升预警'}, {'question': '在14:51时，资金动向的提示次数是多少？', 'answer': '13'}]}
【勿外传】智能投顾产品要素表.txt	| 特灵回转交易——程序化T0交易工具（相关数据更新至2023.09） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 1 | 产品名称 | 特灵回转交易 |\n\n| 特灵回转交易——程序化T0交易工具（相关数据更新至2023.09） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 2 | 产品代码 | - |\n\n| 特灵回转交易——程序化T0交易工具（相关数据更新至2023.09） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 3 | 产品类型 | 智能决策工具-程序化交易类 |\n\n| 特灵回转交易——程序化T0交易工具（相关数据更新至2023.09） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 4 | 产品简介 | 程序化交易，基于用户持仓，并判断短期量价信息，交易下单，高抛低吸，赚取日内波动价差收益，降低长期持仓成本。 |\n\n| 特灵回转交易——程序化T0交易工具（相关数据更新至2023.09） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |\n|-|-|-|-|\n| 基本信息 | 5 | 风格标签 | 【高抛低吸】、【AI机器学习】、【短线】 |	{'number': 3, 'question': [{'question': '特灵回转交易工具的产品类型是什么？', 'answer': '智能决策工具-程序化交易类'}, {'question': '特灵回转交易工具的产品名称是什么？', 'answer': '特灵回转交易'}, {'question': '特灵回转交易工具的产品代码是什么？', 'answer': '-'}]}
6-1 涨停雷达.txt	综合战绩\n\n综合战绩 中际\n\n| 统计时间 | 最近半年 | 递延收益 |\n|-|-|-|\n| 入选股票数 | 472只 | 入选价 |\n| 成功率 | | 入选时间 |\n| 最高收益平均值 | | |\n\n提示：数据来自于历史统计，具有时效性，仅供参考，不代表未\n\n来投资表现，不构成投资建议。股市有风险，投资需谨慎。\n\n最新入选\n\n? 0 1 - 1 9 更新\n\n每个交易日0 9 : 2 5 - 0 9 : 3 5 之间更新\n\n双箭股份\n\n8.21\n\n入选时间 09:27 入选价 8.21\n\n入选价\n\n入选时间\n\n09:27\n\n最高收益\n\n止损价\n\n7.39\n\n最高收益 止损价 7.39\n\n催化剂\n\n催化剂 预计1 - 1 2 月实现净利润2 4 0 0 0 万元一\n\n每日更新股票池\n\n燕塘乳业\n\n燕塘乳业入选时间09:27入选价18.90爱三收并止提价催化剂预计1-2日实现净利润1689146万元一19872.30方元，我上年高期改安0%一100%。（归\n\n说明\n\n<\n\n最新入选?\n\n0 1 - 1 9 更新\n\n每个交易日0 9 : 2 5 - 0 9 : 3 5 之间更新\n\n双箭股份\n\n入选时间 09:27 入选价\n\n入选价\n\n入选时间\n\n09:27\n\n8.21\n\n最高收益 止损价\n\n止损价\n\n最高收益\n\n7.39\n\n催化剂 预计1 - 1 2 月实现净利润2 4 0 0 0 万元一\n\n2 8 0 0 0 万元，较上年同期改变1 1 1 . 1 9 % 一1 4 6 . 3 8 % 。\n\n（归属上市公司股东净利润）\n\nX\n\n燕塘乳业\n\n入选价\n\n入选时间 09:27 入选价 18.90\n\n18.90\n\n入选时间\n\n09:27\n\n最高收益 止损价 17.01\n\n止损价\n\n最高收益\n\n17.01\n\n催化剂\n\n预计1 - 1 2 月实现净利润1 6 8 9 1 . 4 6 万元一\n\n1 9 8 7 2 . 3 0 万元，较上年同期改变7 0 % 一1 0 0 % 。（归\n\n属上市公司股东净利润）\n\n雪峰科技\n\n入选时间 09:27 入选价 6.86\n\n入选价\n\n6.86\n\n入选时间\n\n09:27\n\n最高收益 止损价 6.17\n\n最高收益\n\n止损价\n\n6.17\n\n每天9 : 2 7 - 9 : 3 5 分\n\n润\n\n中绿电\n\n入选时间 09:27 入选价\n\n入选价	{'number': 3, 'question': [{'question': '双箭股份的入选价格是多少？', 'answer': '8.21'}, {'question': '燕塘乳业的入选价格是多少？', 'answer': '18.90'}, {'question': '雪峰科技的入选价格是多少？', 'answer': '6.86'}]}
2-3Level2白银版功能详解逐笔明细.txt	买4 70\n\n买5 65\n\n买6 33\n\n卖一 1 4 3 买一 3 8 买7 90\n\n143买一\n\n38买7\n\n买8 278\n\n25 69\n\n量14.31万\n\n高 开2 7 . 1 9 量1 4 . 3 1 万\n\n开27.19\n\n更\n\n多\n\n低2 7 . 1 8 换1 . 0 9 % 额3 . 9 8 亿\n\n低27.18\n\n额3.98亿\n\n换1.09%\n\n时 5 日 日K 周K 月K 分钟\n\n28 +3.97% 明细\n\n卖1 0\n\n卖9 211\n\n卖8 29\n\n卖7 90\n\n卖6 124\n\n卖5 570\n\n卖4 86\n\n卖3 69\n\n卖2 57\n\n卖1 153\n\n-3.97%\n\n加1 5 : 0 0 买1 108\n\n加15:00买1\n\n买2 124\n\n交量现量1 2 0 6 . 0 0\n\n89.00 买3 287\n\n买4 70\n\n买5 65\n\n买6 33\n\n可 更\n\n| 日K | 低27.18周K | 换1.09%月K | 额3.98亿分钟 | 多 | - |\n|-|-|-|-|-|-|\n| |              | +3.97% | 十档 | | |\n| |              | | 时间价格成交量 | | |\n| |              | | 10：44 | 4 | |\n| |              | | 10：44 | | 1 |\n| |              | | 10：44 | | 3 |\n| |              | | 10：44 | | 11 |\n| |              | | 10：44 | | 1 |\n| |              | | 10：44 | | 4 |\n| |              | | 10：44 | | 1 |\n| |              | | 10：44 | | 14 |\n| |              | -3.97% | 10：44 | 4 | |\n| |              | 叠加 | 10：4415：00 | 3 | |\n| |              | | 10：44 | 9 | |\n| 093.00 | | | | | |\n| |              | | 10 | 1/4 | |\n\n今开 昨收\n\n25.91	{'number': 3, 'question': [{'question': '今日的最高价是多少？', 'answer': '27.19'}, {'question': '今日的最低价格是多少？', 'answer': '27.18'}, {'question': '今日的成交额是多少？', 'answer': '3.98亿'}]}
